stage,name,ling_hp,ling_speed_multiplier,map_width,waves,ambient_ling,ambient_roach,ambient_bane,ambient_ravager,pod_ling,pod_roach,pod_bane,pod_ravager,clear_minerals,clear_gas,pod_hp,pod_no_intervention_seconds
1,边境警报,18,1,28,3,3,0,0,0,2,0,0,0,80,30,600,60.25
2,双向夹击,24,1,36,4,8,0,0,0,3,0,0,0,250,125,900,60.25
3,代谢加速,30,1.1,44,5,15,0,0,0,5,0,0,0,300,150,1200,48.42
4,酸液装甲,35,1.1,52,5,20,3,0,0,6,1,0,0,250,150,1500,37.65
5,地面虫潮,35,1.12,60,6,32,5,0,0,8,1,0,0,250,150,1800,36.62
6,爆虫冲锋,35,1.12,68,6,36,6,4,0,10,1,1,0,250,175,2100,34.57
7,孤立降落区,35,1.15,76,6,42,8,5,0,12,2,1,0,200,175,2400,29.07
8,重甲围攻,35,1.15,84,6,48,12,6,0,14,3,1,0,200,200,2400,23.35
9,离心钩,35,1.18,92,7,55,12,12,0,16,3,2,0,200,200,2400,20.98
10,腐蚀胆汁,35,1.18,100,7,60,12,10,4,18,3,2,1,225,225,2400,16.55
11,全兵种虫潮,35,1.2,104,8,72,16,12,6,20,4,2,1,250,225,2400,14.17
12,摧毁虫巢,35,1.2,112,8,80,18,16,8,22,4,3,2,300,250,2400,12.07
